"date","age_group","deaths_boost_vac_rate_7ma","deaths_full_vac_rate_7ma","deaths_not_full_vac_rate_7ma"
2021-04-19,"5-11yrs",0.00,0.00,0.01
2021-04-19,"12-17yrs",0.00,0.00,0.00
2021-04-19,"18-39yrs",0.00,0.00,0.02
2021-04-19,"40-59yrs",0.00,0.00,0.08
2021-04-19,"60+",0.00,0.08,0.68
2021-04-19,"ALL",0.00,0.04,0.19
2021-04-20,"0-4yrs",0.00,0.00,0.00
2021-04-20,"5-11yrs",0.00,0.00,0.01
2021-04-20,"12-17yrs",0.00,0.00,0.00
2021-04-20,"18-39yrs",0.00,0.00,0.01
2021-04-20,"40-59yrs",0.00,0.00,0.09
2021-04-20,"60+",0.00,0.08,0.69
2021-04-20,"ALL",0.00,0.04,0.19
2021-04-21,"0-4yrs",0.00,0.00,0.00
2021-04-21,"5-11yrs",0.00,0.00,0.01
2021-04-21,"12-17yrs",0.00,0.00,0.00
2021-04-21,"18-39yrs",0.00,0.00,0.01
2021-04-21,"40-59yrs",0.00,0.00,0.08
2021-04-21,"60+",0.00,0.16,0.66
2021-04-21,"ALL",0.00,0.08,0.18
2021-04-22,"0-4yrs",0.00,0.00,0.00
2021-04-22,"5-11yrs",0.00,0.00,0.01
2021-04-22,"12-17yrs",0.00,0.00,0.00
2021-04-22,"18-39yrs",0.00,0.00,0.01
2021-04-22,"40-59yrs",0.00,0.00,0.08
2021-04-22,"60+",0.00,0.16,0.66
2021-04-22,"ALL",0.00,0.08,0.18
2021-04-23,"0-4yrs",0.00,0.00,0.00
2021-04-23,"5-11yrs",0.00,0.00,0.01
2021-04-23,"12-17yrs",0.00,0.00,0.01
2021-04-23,"18-39yrs",0.00,0.00,0.02
2021-04-23,"40-59yrs",0.00,0.00,0.09
2021-04-23,"60+",0.00,0.16,0.72
2021-04-23,"ALL",0.00,0.08,0.20
2021-04-24,"0-4yrs",0.00,0.00,0.00
2021-04-24,"5-11yrs",0.00,0.00,0.01
2021-04-24,"12-17yrs",0.00,0.00,0.01
2021-04-24,"18-39yrs",0.00,0.00,0.02
2021-04-24,"40-59yrs",0.00,0.00,0.06
2021-04-24,"60+",0.00,0.16,0.78
2021-04-24,"ALL",0.00,0.08,0.21
2021-04-25,"0-4yrs",0.00,0.00,0.00
2021-04-25,"5-11yrs",0.00,0.00,0.00
